Apr 25 07:30:49 
Apr 25 07:30:49 🔔京喜签到, 开始!
Apr 25 07:30:49 
Apr 25 07:30:49 ====================共6个京东账号Cookie=========
Apr 25 07:30:49 
Apr 25 07:30:49 ==================脚本执行- 北京时间(UTC+8)：4/25/2021, 7:30:49 AM=====================
Apr 25 07:30:49 
Apr 25 07:30:49 
Apr 25 07:30:49 ******开始【京东账号1】18337656372_p*********
Apr 25 07:30:49 
Apr 25 07:30:50 签到成功，获得10金币，已签到20天
Apr 25 07:30:50 去做浏览商品任务任务
Apr 25 07:30:50 任务领取成功
Apr 25 07:30:51 任务完成成功，获得金币1
Apr 25 07:30:52 去做浏览商品任务任务
Apr 25 07:30:52 任务领取成功
Apr 25 07:30:53 任务完成成功，获得金币1
Apr 25 07:30:54 去做浏览商品任务任务
Apr 25 07:30:54 任务领取成功
Apr 25 07:30:56 任务完成成功，获得金币1
Apr 25 07:30:57 去做浏览商品任务任务
Apr 25 07:30:57 任务领取成功
Apr 25 07:30:58 任务完成成功，获得金币1
Apr 25 07:30:59 去做浏览商品任务任务
Apr 25 07:30:59 任务领取成功
Apr 25 07:31:00 任务完成成功，获得金币1
Apr 25 07:31:01 去做浏览商品任务任务
Apr 25 07:31:01 任务领取成功
Apr 25 07:31:02 任务完成成功，获得金币1
Apr 25 07:31:03 去做浏览商品任务任务
Apr 25 07:31:04 任务领取成功
Apr 25 07:31:05 任务完成成功，获得金币1
Apr 25 07:31:06 去做浏览商品任务任务
Apr 25 07:31:06 任务领取成功
Apr 25 07:31:07 任务完成成功，获得金币1
Apr 25 07:31:08 去做浏览商品任务任务
Apr 25 07:31:08 任务领取成功
Apr 25 07:31:09 任务完成成功，获得金币1
Apr 25 07:31:10 去做浏览商品任务任务
Apr 25 07:31:10 任务领取成功
Apr 25 07:31:11 任务完成成功，获得金币1
Apr 25 07:31:13 双签成功，获得金币0.03元
Apr 25 07:31:13 京东账号118337656372_p
Apr 25 07:31:13 本次运行获得金币20,现金0.03
Apr 25 07:31:13 
Apr 25 07:31:13 ******开始【京东账号2】jd_MCazEJrLyuXn*********
Apr 25 07:31:13 
Apr 25 07:31:13 签到成功，获得9金币，已签到6天
Apr 25 07:31:13 去做浏览商品任务任务
Apr 25 07:31:13 任务领取成功
Apr 25 07:31:14 任务完成成功，获得金币1
Apr 25 07:31:15 去做浏览商品任务任务
Apr 25 07:31:15 任务领取成功
Apr 25 07:31:17 任务完成成功，获得金币1
Apr 25 07:31:18 去做浏览商品任务任务
Apr 25 07:31:18 任务领取成功
Apr 25 07:31:19 任务完成成功，获得金币1
Apr 25 07:31:20 去做浏览商品任务任务
Apr 25 07:31:20 任务领取成功
Apr 25 07:31:21 任务完成成功，获得金币1
Apr 25 07:31:22 去做浏览商品任务任务
Apr 25 07:31:22 任务领取成功
Apr 25 07:31:23 任务完成成功，获得金币1
Apr 25 07:31:24 去做浏览商品任务任务
Apr 25 07:31:25 任务领取成功
Apr 25 07:31:26 任务完成成功，获得金币1
Apr 25 07:31:27 去做浏览商品任务任务
Apr 25 07:31:27 任务领取成功
Apr 25 07:31:28 任务完成成功，获得金币1
Apr 25 07:31:29 去做浏览商品任务任务
Apr 25 07:31:29 任务领取成功
Apr 25 07:31:30 任务完成成功，获得金币1
Apr 25 07:31:31 去做浏览商品任务任务
Apr 25 07:31:31 任务领取成功
Apr 25 07:31:33 任务完成成功，获得金币1
Apr 25 07:31:34 去做浏览商品任务任务
Apr 25 07:31:34 任务领取成功
Apr 25 07:31:35 任务完成成功，获得金币1
Apr 25 07:31:36 任务完成失败，错误信息not sign
Apr 25 07:31:36 京东账号2jd_MCazEJrLyuXn
Apr 25 07:31:36 本次运行获得金币19,现金0
Apr 25 07:31:36 
Apr 25 07:31:36 ******开始【京东账号3】鬼神之吕奉先*********
Apr 25 07:31:36 
Apr 25 07:31:36 签到成功，获得9金币，已签到6天
Apr 25 07:31:36 去做浏览商品任务任务
Apr 25 07:31:36 任务领取成功
Apr 25 07:31:38 任务完成成功，获得金币1
Apr 25 07:31:39 去做浏览商品任务任务
Apr 25 07:31:39 任务领取成功
Apr 25 07:31:40 任务完成成功，获得金币1
Apr 25 07:31:41 去做浏览商品任务任务
Apr 25 07:31:41 任务领取成功
Apr 25 07:31:42 任务完成成功，获得金币1
Apr 25 07:31:43 去做浏览商品任务任务
Apr 25 07:31:43 任务领取成功
Apr 25 07:31:45 任务完成成功，获得金币1
Apr 25 07:31:46 去做浏览商品任务任务
Apr 25 07:31:46 任务领取成功
Apr 25 07:31:47 任务完成成功，获得金币1
Apr 25 07:31:48 去做浏览商品任务任务
Apr 25 07:31:48 任务领取成功
Apr 25 07:31:49 任务完成成功，获得金币1
Apr 25 07:31:50 去做浏览商品任务任务
Apr 25 07:31:50 任务领取成功
Apr 25 07:31:51 任务完成成功，获得金币1
Apr 25 07:31:52 去做浏览商品任务任务
Apr 25 07:31:53 任务领取成功
Apr 25 07:31:54 任务完成成功，获得金币1
Apr 25 07:31:55 去做浏览商品任务任务
Apr 25 07:31:55 任务领取成功
Apr 25 07:31:56 任务完成成功，获得金币1
Apr 25 07:31:57 去做浏览商品任务任务
Apr 25 07:31:57 任务领取成功
Apr 25 07:31:58 任务完成成功，获得金币1
Apr 25 07:31:59 双签成功，获得金币0.03元
Apr 25 07:31:59 京东账号3鬼神之吕奉先
Apr 25 07:31:59 本次运行获得金币19,现金0.03
Apr 25 07:31:59 
Apr 25 07:31:59 ******开始【京东账号4】jd_6ba76f15069fd*********
Apr 25 07:31:59 
Apr 25 07:32:00 签到成功，获得9金币，已签到6天
Apr 25 07:32:00 去做浏览商品任务任务
Apr 25 07:32:00 任务领取成功
Apr 25 07:32:01 任务完成成功，获得金币1
Apr 25 07:32:02 去做浏览商品任务任务
Apr 25 07:32:02 任务领取成功
Apr 25 07:32:03 任务完成成功，获得金币1
Apr 25 07:32:04 去做浏览商品任务任务
Apr 25 07:32:04 任务领取成功
Apr 25 07:32:06 任务完成成功，获得金币1
Apr 25 07:32:07 去做浏览商品任务任务
Apr 25 07:32:07 任务领取成功
Apr 25 07:32:08 任务完成成功，获得金币1
Apr 25 07:32:09 去做浏览商品任务任务
Apr 25 07:32:09 任务领取成功
Apr 25 07:32:10 任务完成成功，获得金币1
Apr 25 07:32:11 去做浏览商品任务任务
Apr 25 07:32:11 任务领取成功
Apr 25 07:32:12 任务完成成功，获得金币1
Apr 25 07:32:13 去做浏览商品任务任务
Apr 25 07:32:13 任务领取成功
Apr 25 07:32:15 任务完成成功，获得金币1
Apr 25 07:32:16 去做浏览商品任务任务
Apr 25 07:32:16 任务领取成功
Apr 25 07:32:17 任务完成成功，获得金币1
Apr 25 07:32:18 去做浏览商品任务任务
Apr 25 07:32:18 任务领取成功
Apr 25 07:32:19 任务完成成功，获得金币1
Apr 25 07:32:20 去做浏览商品任务任务
Apr 25 07:32:20 任务领取成功
Apr 25 07:32:21 任务完成成功，获得金币1
Apr 25 07:32:23 双签成功，获得金币0.03元
Apr 25 07:32:23 京东账号4jd_6ba76f15069fd
